Reporting level,Province,Indicator,Metric,Data year,Unit of measurement,Indicator result
Provincial,Ontario,Lung Cancer Surgery,90th Percentile,2021FY,Days,43
Provincial,Ontario,Lung Cancer Surgery,Volume,2021FY,Number of cases,2869
Provincial,Ontario,MRI Scan,50th Percentile,2021FY,Days,31
Provincial,Ontario,MRI Scan,90th Percentile,2021FY,Days,124
Provincial,Ontario,MRI Scan,Volume,2021FY,Number of cases,725245
Provincial,Ontario,Prostate Cancer Surgery,50th Percentile,2021FY,Days,41
Provincial,Ontario,Prostate Cancer Surgery,90th Percentile,2021FY,Days,100
Provincial,Ontario,Prostate Cancer Surgery,Volume,2021FY,Number of cases,2111
Provincial,Ontario,Radiation Therapy,% Meeting Benchmark,2021FY,Proportion,98
Provincial,Ontario,Radiation Therapy,50th Percentile,2021FY,Days,10
Provincial,Ontario,Radiation Therapy,90th Percentile,2021FY,Days,17
Provincial,Ontario,Radiation Therapy,Volume,2021FY,Number of cases,35749
Provincial,Prince Edward Island,Bladder Cancer Surgery,50th Percentile,2021FY,Days,19
Provincial,Prince Edward Island,Bladder Cancer Surgery,90th Percentile,2021FY,Days,46
Provincial,Prince Edward Island,Bladder Cancer Surgery,Volume,2021FY,Number of cases,86
Provincial,Prince Edward Island,Breast Cancer Surgery,50th Percentile,2021FY,Days,16
Provincial,Prince Edward Island,Breast Cancer Surgery,90th Percentile,2021FY,Days,43
Provincial,Prince Edward Island,Breast Cancer Surgery,Volume,2021FY,Number of cases,106
Provincial,Prince Edward Island,CABG,50th Percentile,2021FY,Days,n/a
Provincial,Prince Edward Island,CABG,90th Percentile,2021FY,Days,n/a
Provincial,Prince Edward Island,CABG,Volume,2021FY,Number of cases,n/a
Provincial,Prince Edward Island,Cataract Surgery,% Meeting Benchmark,2021FY,Proportion,38
Provincial,Prince Edward Island,Cataract Surgery,50th Percentile,2021FY,Days,144
Provincial,Prince Edward Island,Cataract Surgery,90th Percentile,2021FY,Days,339
Provincial,Prince Edward Island,Cataract Surgery,Volume,2021FY,Number of cases,1347
Provincial,Prince Edward Island,Colorectal Cancer Surgery,50th Percentile,2021FY,Days,16
Provincial,Prince Edward Island,Colorectal Cancer Surgery,90th Percentile,2021FY,Days,45
Provincial,Prince Edward Island,Colorectal Cancer Surgery,Volume,2021FY,Number of cases,66
Provincial,Prince Edward Island,CT Scan,50th Percentile,2021FY,Days,27
Provincial,Prince Edward Island,CT Scan,90th Percentile,2021FY,Days,114
Provincial,Prince Edward Island,CT Scan,Volume,2021FY,Number of cases,10057
Provincial,Prince Edward Island,Hip Fracture Repair/Emergency and Inpatient,% Meeting Benchmark,2021FY,Proportion,91
Provincial,Prince Edward Island,Hip Fracture Repair/Emergency and Inpatient,50th Percentile,2021FY,Hours,18
Provincial,Prince Edward Island,Hip Fracture Repair/Emergency and Inpatient,90th Percentile,2021FY,Hours,47
Provincial,Prince Edward Island,Hip Fracture Repair/Emergency and Inpatient,Volume,2021FY,Number of cases,145
Provincial,Prince Edward Island,Hip Replacement,% Meeting Benchmark,2021FY,Proportion,59
Provincial,Prince Edward Island,Hip Replacement,50th Percentile,2021FY,Days,148
Provincial,Prince Edward Island,Hip Replacement,90th Percentile,2021FY,Days,405
Provincial,Prince Edward Island,Hip Replacement,Volume,2021FY,Number of cases,273
Provincial,Prince Edward Island,Knee Replacement,% Meeting Benchmark,2021FY,Proportion,53
Provincial,Prince Edward Island,Knee Replacement,50th Percentile,2021FY,Days,169
Provincial,Prince Edward Island,Knee Replacement,90th Percentile,2021FY,Days,439
Provincial,Prince Edward Island,Knee Replacement,Volume,2021FY,Number of cases,506
Provincial,Prince Edward Island,Lung Cancer Surgery,50th Percentile,2021FY,Days,n/a
Provincial,Prince Edward Island,Lung Cancer Surgery,90th Percentile,2021FY,Days,n/a
Provincial,Prince Edward Island,Lung Cancer Surgery,Volume,2021FY,Number of cases,n/a
Provincial,Prince Edward Island,MRI Scan,50th Percentile,2021FY,Days,31
Provincial,Prince Edward Island,MRI Scan,90th Percentile,2021FY,Days,213
Provincial,Prince Edward Island,MRI Scan,Volume,2021FY,Number of cases,4594
Provincial,Prince Edward Island,Prostate Cancer Surgery,50th Percentile,2021FY,Days,n/a
Provincial,Prince Edward Island,Prostate Cancer Surgery,90th Percentile,2021FY,Days,n/a
Provincial,Prince Edward Island,Prostate Cancer Surgery,Volume,2021FY,Number of cases,n/a
Provincial,Prince Edward Island,Radiation Therapy,% Meeting Benchmark,2021FY,Proportion,98
Provincial,Prince Edward Island,Radiation Therapy,50th Percentile,2021FY,Days,11
Provincial,Prince Edward Island,Radiation Therapy,90th Percentile,2021FY,Days,20
Provincial,Prince Edward Island,Radiation Therapy,Volume,2021FY,Number of cases,528
Provincial,Quebec,Bladder Cancer Surgery,50th Percentile,2021FY,Days,27
Provincial,Quebec,Bladder Cancer Surgery,90th Percentile,2021FY,Days,57
Provincial,Quebec,Bladder Cancer Surgery,Volume,2021FY,Number of cases,7571
Provincial,Quebec,Breast Cancer Surgery,50th Percentile,2021FY,Days,22
Provincial,Quebec,Breast Cancer Surgery,90th Percentile,2021FY,Days,46
Provincial,Quebec,Breast Cancer Surgery,Volume,2021FY,Number of cases,8141
Provincial,Quebec,CABG,50th Percentile,2021FY,Days,n/a
Provincial,Quebec,CABG,90th Percentile,2021FY,Days,n/a
Provincial,Quebec,CABG,Volume,2021FY,Number of cases,n/a
Provincial,Quebec,Cataract Surgery,% Meeting Benchmark,2021FY,Proportion,69
Provincial,Quebec,Cataract Surgery,50th Percentile,2021FY,Days,63
Provincial,Quebec,Cataract Surgery,90th Percentile,2021FY,Days,247
Provincial,Quebec,Cataract Surgery,Volume,2021FY,Number of cases,93324
Provincial,Quebec,Colorectal Cancer Surgery,50th Percentile,2021FY,Days,22
Provincial,Quebec,Colorectal Cancer Surgery,90th Percentile,2021FY,Days,46
Provincial,Quebec,Colorectal Cancer Surgery,Volume,2021FY,Number of cases,3759
Provincial,Quebec,CT Scan,50th Percentile,2021FY,Days,n/a
Provincial,Quebec,CT Scan,90th Percentile,2021FY,Days,n/a
Provincial,Quebec,CT Scan,Volume,2021FY,Number of cases,n/a
Provincial,Quebec,Hip Replacement,% Meeting Benchmark,2021FY,Proportion,51
Provincial,Quebec,Hip Replacement,50th Percentile,2021FY,Days,179
Provincial,Quebec,Hip Replacement,90th Percentile,2021FY,Days,448
Provincial,Quebec,Hip Replacement,Volume,2021FY,Number of cases,7801
Provincial,Quebec,Knee Replacement,% Meeting Benchmark,2021FY,Proportion,42
Provincial,Quebec,Knee Replacement,50th Percentile,2021FY,Days,216
Provincial,Quebec,Knee Replacement,90th Percentile,2021FY,Days,516
Provincial,Quebec,Knee Replacement,Volume,2021FY,Number of cases,9405
Provincial,Quebec,Lung Cancer Surgery,50th Percentile,2021FY,Days,26
Provincial,Quebec,Lung Cancer Surgery,90th Percentile,2021FY,Days,58
Provincial,Quebec,Lung Cancer Surgery,Volume,2021FY,Number of cases,2819
Provincial,Quebec,MRI Scan,50th Percentile,2021FY,Days,n/a
Provincial,Quebec,MRI Scan,90th Percentile,2021FY,Days,n/a
Provincial,Quebec,MRI Scan,Volume,2021FY,Number of cases,n/a
Provincial,Quebec,Prostate Cancer Surgery,50th Percentile,2021FY,Days,36
Provincial,Quebec,Prostate Cancer Surgery,90th Percentile,2021FY,Days,80
Provincial,Quebec,Prostate Cancer Surgery,Volume,2021FY,Number of cases,1673
Provincial,Quebec,Radiation Therapy,% Meeting Benchmark,2021FY,Proportion,100
Provincial,Quebec,Radiation Therapy,50th Percentile,2021FY,Days,n/a
Provincial,Quebec,Radiation Therapy,90th Percentile,2021FY,Days,n/a
Provincial,Quebec,Radiation Therapy,Volume,2021FY,Number of cases,29110
Provincial,Saskatchewan,Bladder Cancer Surgery,50th Percentile,2021FY,Days,15
Provincial,Saskatchewan,Bladder Cancer Surgery,90th Percentile,2021FY,Days,28
Provincial,Saskatchewan,Bladder Cancer Surgery,Volume,2021FY,Number of cases,582
Provincial,Saskatchewan,Breast Cancer Surgery,50th Percentile,2021FY,Days,17
Provincial,Saskatchewan,Breast Cancer Surgery,90th Percentile,2021FY,Days,35
Provincial,Saskatchewan,Breast Cancer Surgery,Volume,2021FY,Number of cases,770
Provincial,Saskatchewan,CABG,50th Percentile,2021FY,Days,5
Provincial,Saskatchewan,CABG,90th Percentile,2021FY,Days,70
Provincial,Saskatchewan,CABG,Volume,2021FY,Number of cases,232
Provincial,Saskatchewan,Cataract Surgery,% Meeting Benchmark,2021FY,Proportion,60
Provincial,Saskatchewan,Cataract Surgery,50th Percentile,2021FY,Days,87
Provincial,Saskatchewan,Cataract Surgery,90th Percentile,2021FY,Days,259
Provincial,Saskatchewan,Cataract Surgery,Volume,2021FY,Number of cases,8269
Provincial,Saskatchewan,Colorectal Cancer Surgery,50th Percentile,2021FY,Days,20
Provincial,Saskatchewan,Colorectal Cancer Surgery,90th Percentile,2021FY,Days,40
Provincial,Saskatchewan,Colorectal Cancer Surgery,Volume,2021FY,Number of cases,384
Provincial,Saskatchewan,CT Scan,50th Percentile,2021FY,Days,29
Provincial,Saskatchewan,CT Scan,90th Percentile,2021FY,Days,146
Provincial,Saskatchewan,CT Scan,Volume,2021FY,Number of cases,45881
Provincial,Saskatchewan,Hip Replacement,% Meeting Benchmark,2021FY,Proportion,40
Provincial,Saskatchewan,Hip Replacement,50th Percentile,2021FY,Days,256
Provincial,Saskatchewan,Hip Replacement,90th Percentile,2021FY,Days,594
Provincial,Saskatchewan,Hip Replacement,Volume,2021FY,Number of cases,1481
Provincial,Saskatchewan,Knee Replacement,% Meeting Benchmark,2021FY,Proportion,28
Provincial,Saskatchewan,Knee Replacement,50th Percentile,2021FY,Days,429
Provincial,Saskatchewan,Knee Replacement,90th Percentile,2021FY,Days,758
Provincial,Saskatchewan,Knee Replacement,Volume,2021FY,Number of cases,1872
Provincial,Saskatchewan,Lung Cancer Surgery,50th Percentile,2021FY,Days,16
Provincial,Saskatchewan,Lung Cancer Surgery,90th Percentile,2021FY,Days,36
Provincial,Saskatchewan,Lung Cancer Surgery,Volume,2021FY,Number of cases,109
Provincial,Saskatchewan,MRI Scan,50th Percentile,2021FY,Days,35
Provincial,Saskatchewan,MRI Scan,90th Percentile,2021FY,Days,195
Provincial,Saskatchewan,MRI Scan,Volume,2021FY,Number of cases,24701
Provincial,Saskatchewan,Prostate Cancer Surgery,50th Percentile,2021FY,Days,42
Provincial,Saskatchewan,Prostate Cancer Surgery,90th Percentile,2021FY,Days,165
Provincial,Saskatchewan,Prostate Cancer Surgery,Volume,2021FY,Number of cases,208
Provincial,Saskatchewan,Radiation Therapy,% Meeting Benchmark,2021FY,Proportion,98
Provincial,Saskatchewan,Radiation Therapy,50th Percentile,2021FY,Days,6
Provincial,Saskatchewan,Radiation Therapy,90th Percentile,2021FY,Days,19
Provincial,Saskatchewan,Radiation Therapy,Volume,2021FY,Number of cases,2343
National,Canada,Bladder Cancer Surgery,50th Percentile,2021FY,Days,25
National,Canada,Bladder Cancer Surgery,90th Percentile,2021FY,Days,62
National,Canada,Bladder Cancer Surgery,Volume,2021FY,Number of cases,26982
National,Canada,Breast Cancer Surgery,50th Percentile,2021FY,Days,19
National,Canada,Breast Cancer Surgery,90th Percentile,2021FY,Days,39
National,Canada,Breast Cancer Surgery,Volume,2021FY,Number of cases,32810
National,Canada,CABG,50th Percentile,2021FY,Days,7
National,Canada,CABG,90th Percentile,2021FY,Days,82
National,Canada,CABG,Volume,2021FY,Number of cases,9830
National,Canada,Cataract Surgery,% Meeting Benchmark,2021FY,Proportion,67
National,Canada,Cataract Surgery,50th Percentile,2021FY,Days,70
National,Canada,Cataract Surgery,90th Percentile,2021FY,Days,262
National,Canada,Cataract Surgery,Volume,2021FY,Number of cases,350718
National,Canada,Colorectal Cancer Surgery,50th Percentile,2021FY,Days,20
National,Canada,Colorectal Cancer Surgery,90th Percentile,2021FY,Days,44
National,Canada,Colorectal Cancer Surgery,Volume,2021FY,Number of cases,13745
National,Canada,CT Scan,50th Percentile,2021FY,Days,12
National,Canada,CT Scan,90th Percentile,2021FY,Days,72
National,Canada,CT Scan,Volume,2021FY,Number of cases,1795966
National,Canada,Hip Replacement,% Meeting Benchmark,2021FY,Proportion,63
National,Canada,Hip Replacement,50th Percentile,2021FY,Days,141
National,Canada,Hip Replacement,90th Percentile,2021FY,Days,375
National,Canada,Hip Replacement,Volume,2021FY,Number of cases,39146
National,Canada,Knee Replacement,% Meeting Benchmark,2021FY,Proportion,57
National,Canada,Knee Replacement,50th Percentile,2021FY,Days,167
National,Canada,Knee Replacement,90th Percentile,2021FY,Days,437
National,Canada,Knee Replacement,Volume,2021FY,Number of cases,54515
National,Canada,Lung Cancer Surgery,50th Percentile,2021FY,Days,23
National,Canada,Lung Cancer Surgery,90th Percentile,2021FY,Days,52
National,Canada,Lung Cancer Surgery,Volume,2021FY,Number of cases,8318
National,Canada,MRI Scan,50th Percentile,2021FY,Days,37
National,Canada,MRI Scan,90th Percentile,2021FY,Days,141
National,Canada,MRI Scan,Volume,2021FY,Number of cases,1200941
National,Canada,Prostate Cancer Surgery,50th Percentile,2021FY,Days,44
National,Canada,Prostate Cancer Surgery,90th Percentile,2021FY,Days,105
National,Canada,Prostate Cancer Surgery,Volume,2021FY,Number of cases,6440
National,Canada,Radiation Therapy,% Meeting Benchmark,2021FY,Proportion,97
National,Canada,Radiation Therapy,50th Percentile,2021FY,Days,11
National,Canada,Radiation Therapy,90th Percentile,2021FY,Days,21
National,Canada,Radiation Therapy,Volume,2021FY,Number of cases,100318
Provincial,Alberta,Bladder Cancer Surgery,50th Percentile,2021Q3Q4,Days,25
Provincial,Alberta,Bladder Cancer Surgery,90th Percentile,2021Q3Q4,Days,69
Provincial,Alberta,Bladder Cancer Surgery,Volume,2021Q3Q4,Number of cases,1056
Provincial,Alberta,Breast Cancer Surgery,50th Percentile,2021Q3Q4,Days,18
Provincial,Alberta,Breast Cancer Surgery,90th Percentile,2021Q3Q4,Days,40
Provincial,Alberta,Breast Cancer Surgery,Volume,2021Q3Q4,Number of cases,1729
Provincial,Alberta,CABG,50th Percentile,2021Q3Q4,Days,5
Provincial,Alberta,CABG,90th Percentile,2021Q3Q4,Days,75
Provincial,Alberta,CABG,Volume,2021Q3Q4,Number of cases,397
Provincial,Alberta,Cataract Surgery,% Meeting Benchmark,2021Q3Q4,Proportion,66
Provincial,Alberta,Cataract Surgery,50th Percentile,2021Q3Q4,Days,66
Provincial,Alberta,Cataract Surgery,90th Percentile,2021Q3Q4,Days,259
Provincial,Alberta,Cataract Surgery,Volume,2021Q3Q4,Number of cases,14830
Provincial,Alberta,Colorectal Cancer Surgery,50th Percentile,2021Q3Q4,Days,22
Provincial,Alberta,Colorectal Cancer Surgery,90th Percentile,2021Q3Q4,Days,55
Provincial,Alberta,Colorectal Cancer Surgery,Volume,2021Q3Q4,Number of cases,673
Provincial,Alberta,CT Scan,50th Percentile,2021Q3Q4,Days,10
Provincial,Alberta,CT Scan,90th Percentile,2021Q3Q4,Days,80
Provincial,Alberta,CT Scan,Volume,2021Q3Q4,Number of cases,71921
Provincial,Alberta,Hip Replacement,% Meeting Benchmark,2021Q3Q4,Proportion,42
Provincial,Alberta,Hip Replacement,50th Percentile,2021Q3Q4,Days,209
Provincial,Alberta,Hip Replacement,90th Percentile,2021Q3Q4,Days,457
Provincial,Alberta,Hip Replacement,Volume,2021Q3Q4,Number of cases,1826
Provincial,Alberta,Knee Replacement,% Meeting Benchmark,2021Q3Q4,Proportion,28
Provincial,Alberta,Knee Replacement,50th Percentile,2021Q3Q4,Days,258
Provincial,Alberta,Knee Replacement,90th Percentile,2021Q3Q4,Days,529
Provincial,Alberta,Knee Replacement,Volume,2021Q3Q4,Number of cases,2349
Provincial,Alberta,Lung Cancer Surgery,50th Percentile,2021Q3Q4,Days,33
Provincial,Alberta,Lung Cancer Surgery,90th Percentile,2021Q3Q4,Days,67
Provincial,Alberta,Lung Cancer Surgery,Volume,2021Q3Q4,Number of cases,372
Provincial,Alberta,MRI Scan,50th Percentile,2021Q3Q4,Days,30
Provincial,Alberta,MRI Scan,90th Percentile,2021Q3Q4,Days,152
Provincial,Alberta,MRI Scan,Volume,2021Q3Q4,Number of cases,64462
Provincial,Alberta,Prostate Cancer Surgery,50th Percentile,2021Q3Q4,Days,75
Provincial,Alberta,Prostate Cancer Surgery,90th Percentile,2021Q3Q4,Days,155
Provincial,Alberta,Prostate Cancer Surgery,Volume,2021Q3Q4,Number of cases,469
Provincial,Alberta,Radiation Therapy,% Meeting Benchmark,2021Q3Q4,Proportion,99
Provincial,Alberta,Radiation Therapy,50th Percentile,2021Q3Q4,Days,9
Provincial,Alberta,Radiation Therapy,90th Percentile,2021Q3Q4,Days,20
Provincial,Alberta,Radiation Therapy,Volume,2021Q3Q4,Number of cases,4828
Provincial,British Columbia,Bladder Cancer Surgery,50th Percentile,2021Q3Q4,Days,24
Provincial,British Columbia,Bladder Cancer Surgery,90th Percentile,2021Q3Q4,Days,62
Provincial,British Columbia,Bladder Cancer Surgery,Volume,2021Q3Q4,Number of cases,1920
Provincial,British Columbia,Breast Cancer Surgery,50th Percentile,2021Q3Q4,Days,19
Provincial,British Columbia,Breast Cancer Surgery,90th Percentile,2021Q3Q4,Days,43
Provincial,British Columbia,Breast Cancer Surgery,Volume,2021Q3Q4,Number of cases,2239
Provincial,British Columbia,CABG,50th Percentile,2021Q3Q4,Days,7
Provincial,British Columbia,CABG,90th Percentile,2021Q3Q4,Days,91
Provincial,British Columbia,CABG,Volume,2021Q3Q4,Number of cases,795
Provincial,British Columbia,Cataract Surgery,% Meeting Benchmark,2021Q3Q4,Proportion,79
Provincial,British Columbia,Cataract Surgery,50th Percentile,2021Q3Q4,Days,42
Provincial,British Columbia,Cataract Surgery,90th Percentile,2021Q3Q4,Days,190
Provincial,British Columbia,Cataract Surgery,Volume,2021Q3Q4,Number of cases,36244
Provincial,British Columbia,Colorectal Cancer Surgery,50th Percentile,2021Q3Q4,Days,20
Provincial,British Columbia,Colorectal Cancer Surgery,90th Percentile,2021Q3Q4,Days,45
Provincial,British Columbia,Colorectal Cancer Surgery,Volume,2021Q3Q4,Number of cases,894
Provincial,British Columbia,CT Scan,50th Percentile,2021Q3Q4,Days,22
Provincial,British Columbia,CT Scan,90th Percentile,2021Q3Q4,Days,109
Provincial,British Columbia,CT Scan,Volume,2021Q3Q4,Number of cases,139174
Provincial,British Columbia,Hip Replacement,% Meeting Benchmark,2021Q3Q4,Proportion,70
Provincial,British Columbia,Hip Replacement,50th Percentile,2021Q3Q4,Days,126
Provincial,British Columbia,Hip Replacement,90th Percentile,2021Q3Q4,Days,310
Provincial,British Columbia,Hip Replacement,Volume,2021Q3Q4,Number of cases,3156
Provincial,British Columbia,Knee Replacement,% Meeting Benchmark,2021Q3Q4,Proportion,65
Provincial,British Columbia,Knee Replacement,50th Percentile,2021Q3Q4,Days,141
Provincial,British Columbia,Knee Replacement,90th Percentile,2021Q3Q4,Days,362
Provincial,British Columbia,Knee Replacement,Volume,2021Q3Q4,Number of cases,4114
Provincial,British Columbia,Lung Cancer Surgery,50th Percentile,2021Q3Q4,Days,22
Provincial,British Columbia,Lung Cancer Surgery,90th Percentile,2021Q3Q4,Days,54
Provincial,British Columbia,Lung Cancer Surgery,Volume,2021Q3Q4,Number of cases,452
Provincial,British Columbia,MRI Scan,50th Percentile,2021Q3Q4,Days,44
Provincial,British Columbia,MRI Scan,90th Percentile,2021Q3Q4,Days,124
Provincial,British Columbia,MRI Scan,Volume,2021Q3Q4,Number of cases,94718
Provincial,British Columbia,Prostate Cancer Surgery,50th Percentile,2021Q3Q4,Days,37
Provincial,British Columbia,Prostate Cancer Surgery,90th Percentile,2021Q3Q4,Days,143
Provincial,British Columbia,Prostate Cancer Surgery,Volume,2021Q3Q4,Number of cases,474
Provincial,British Columbia,Radiation Therapy,% Meeting Benchmark,2021Q3Q4,Proportion,88
Provincial,British Columbia,Radiation Therapy,50th Percentile,2021Q3Q4,Days,13
Provincial,British Columbia,Radiation Therapy,90th Percentile,2021Q3Q4,Days,31
Provincial,British Columbia,Radiation Therapy,Volume,2021Q3Q4,Number of cases,6374
Provincial,Manitoba,Bladder Cancer Surgery,50th Percentile,2021Q3Q4,Days,n/a
Provincial,Manitoba,Bladder Cancer Surgery,90th Percentile,2021Q3Q4,Days,n/a
Provincial,Manitoba,Bladder Cancer Surgery,Volume,2021Q3Q4,Number of cases,n/a
Provincial,Manitoba,Breast Cancer Surgery,50th Percentile,2021Q3Q4,Days,23
Provincial,Manitoba,Breast Cancer Surgery,90th Percentile,2021Q3Q4,Days,60
Provincial,Manitoba,Breast Cancer Surgery,Volume,2021Q3Q4,Number of cases,366
Provincial,Manitoba,CABG,50th Percentile,2021Q3Q4,Days,8
Provincial,Manitoba,CABG,90th Percentile,2021Q3Q4,Days,88
Provincial,Manitoba,CABG,Volume,2021Q3Q4,Number of cases,152
Provincial,Manitoba,Cataract Surgery,% Meeting Benchmark,2021Q3Q4,Proportion,60
Provincial,Manitoba,Cataract Surgery,50th Percentile,2021Q3Q4,Days,76
Provincial,Manitoba,Cataract Surgery,90th Percentile,2021Q3Q4,Days,403
Provincial,Manitoba,Cataract Surgery,Volume,2021Q3Q4,Number of cases,6355
Provincial,Manitoba,Colorectal Cancer Surgery,50th Percentile,2021Q3Q4,Days,n/a
Provincial,Manitoba,Colorectal Cancer Surgery,90th Percentile,2021Q3Q4,Days,n/a
Provincial,Manitoba,Colorectal Cancer Surgery,Volume,2021Q3Q4,Number of cases,n/a
Provincial,Manitoba,CT Scan,50th Percentile,2021Q3Q4,Days,31
Provincial,Manitoba,CT Scan,90th Percentile,2021Q3Q4,Days,116
Provincial,Manitoba,CT Scan,Volume,2021Q3Q4,Number of cases,56863
Provincial,Manitoba,Hip Replacement,% Meeting Benchmark,2021Q3Q4,Proportion,48
Provincial,Manitoba,Hip Replacement,50th Percentile,2021Q3Q4,Days,189
Provincial,Manitoba,Hip Replacement,90th Percentile,2021Q3Q4,Days,516
Provincial,Manitoba,Hip Replacement,Volume,2021Q3Q4,Number of cases,776
Provincial,Manitoba,Knee Replacement,% Meeting Benchmark,2021Q3Q4,Proportion,33
Provincial,Manitoba,Knee Replacement,50th Percentile,2021Q3Q4,Days,316
Provincial,Manitoba,Knee Replacement,90th Percentile,2021Q3Q4,Days,626
Provincial,Manitoba,Knee Replacement,Volume,2021Q3Q4,Number of cases,1131
Provincial,Manitoba,Lung Cancer Surgery,50th Percentile,2021Q3Q4,Days,15
Provincial,Manitoba,Lung Cancer Surgery,90th Percentile,2021Q3Q4,Days,43
Provincial,Manitoba,Lung Cancer Surgery,Volume,2021Q3Q4,Number of cases,141
Provincial,Manitoba,MRI Scan,50th Percentile,2021Q3Q4,Days,73
Provincial,Manitoba,MRI Scan,90th Percentile,2021Q3Q4,Days,184
Provincial,Manitoba,MRI Scan,Volume,2021Q3Q4,Number of cases,36392
Provincial,Manitoba,Prostate Cancer Surgery,50th Percentile,2021Q3Q4,Days,n/a
Provincial,Manitoba,Prostate Cancer Surgery,90th Percentile,2021Q3Q4,Days,n/a
Provincial,Manitoba,Prostate Cancer Surgery,Volume,2021Q3Q4,Number of cases,n/a
Provincial,Manitoba,Radiation Therapy,% Meeting Benchmark,2021Q3Q4,Proportion,100
Provincial,Manitoba,Radiation Therapy,50th Percentile,2021Q3Q4,Days,14
Provincial,Manitoba,Radiation Therapy,90th Percentile,2021Q3Q4,Days,23
Provincial,Manitoba,Radiation Therapy,Volume,2021Q3Q4,Number of cases,1815
Provincial,New Brunswick,Bladder Cancer Surgery,50th Percentile,2021Q3Q4,Days,24
Provincial,New Brunswick,Bladder Cancer Surgery,90th Percentile,2021Q3Q4,Days,69
Provincial,New Brunswick,Bladder Cancer Surgery,Volume,2021Q3Q4,Number of cases,262
Provincial,New Brunswick,Breast Cancer Surgery,50th Percentile,2021Q3Q4,Days,19
Provincial,New Brunswick,Breast Cancer Surgery,90th Percentile,2021Q3Q4,Days,38
Provincial,New Brunswick,Breast Cancer Surgery,Volume,2021Q3Q4,Number of cases,348
Provincial,New Brunswick,CABG,50th Percentile,2021Q3Q4,Days,10
Provincial,New Brunswick,CABG,90th Percentile,2021Q3Q4,Days,240
Provincial,New Brunswick,CABG,Volume,2021Q3Q4,Number of cases,201
Provincial,New Brunswick,Cataract Surgery,% Meeting Benchmark,2021Q3Q4,Proportion,63
Provincial,New Brunswick,Cataract Surgery,50th Percentile,2021Q3Q4,Days,71
Provincial,New Brunswick,Cataract Surgery,90th Percentile,2021Q3Q4,Days,248
Provincial,New Brunswick,Cataract Surgery,Volume,2021Q3Q4,Number of cases,4318
Provincial,New Brunswick,Colorectal Cancer Surgery,50th Percentile,2021Q3Q4,Days,22
Provincial,New Brunswick,Colorectal Cancer Surgery,90th Percentile,2021Q3Q4,Days,49
Provincial,New Brunswick,Colorectal Cancer Surgery,Volume,2021Q3Q4,Number of cases,237
Provincial,New Brunswick,CT Scan,50th Percentile,2021Q3Q4,Days,n/a
Provincial,New Brunswick,CT Scan,90th Percentile,2021Q3Q4,Days,n/a
Provincial,New Brunswick,CT Scan,Volume,2021Q3Q4,Number of cases,n/a
Provincial,New Brunswick,Hip Replacement,% Meeting Benchmark,2021Q3Q4,Proportion,47
Provincial,New Brunswick,Hip Replacement,50th Percentile,2021Q3Q4,Days,190
Provincial,New Brunswick,Hip Replacement,90th Percentile,2021Q3Q4,Days,448
Provincial,New Brunswick,Hip Replacement,Volume,2021Q3Q4,Number of cases,377
Provincial,New Brunswick,Knee Replacement,% Meeting Benchmark,2021Q3Q4,Proportion,38
Provincial,New Brunswick,Knee Replacement,50th Percentile,2021Q3Q4,Days,239
Provincial,New Brunswick,Knee Replacement,90th Percentile,2021Q3Q4,Days,552
Provincial,New Brunswick,Knee Replacement,Volume,2021Q3Q4,Number of cases,573
Provincial,New Brunswick,Lung Cancer Surgery,50th Percentile,2021Q3Q4,Days,27
Provincial,New Brunswick,Lung Cancer Surgery,90th Percentile,2021Q3Q4,Days,76
Provincial,New Brunswick,Lung Cancer Surgery,Volume,2021Q3Q4,Number of cases,63
Provincial,New Brunswick,MRI Scan,50th Percentile,2021Q3Q4,Days,n/a
Provincial,New Brunswick,MRI Scan,90th Percentile,2021Q3Q4,Days,n/a
Provincial,New Brunswick,MRI Scan,Volume,2021Q3Q4,Number of cases,n/a
Provincial,New Brunswick,Prostate Cancer Surgery,50th Percentile,2021Q3Q4,Days,28
Provincial,New Brunswick,Prostate Cancer Surgery,90th Percentile,2021Q3Q4,Days,60
Provincial,New Brunswick,Prostate Cancer Surgery,Volume,2021Q3Q4,Number of cases,89
Provincial,New Brunswick,Radiation Therapy,% Meeting Benchmark,2021Q3Q4,Proportion,96
Provincial,New Brunswick,Radiation Therapy,50th Percentile,2021Q3Q4,Days,11
Provincial,New Brunswick,Radiation Therapy,90th Percentile,2021Q3Q4,Days,24
Provincial,New Brunswick,Radiation Therapy,Volume,2021Q3Q4,Number of cases,1138
Provincial,Newfoundland and Labrador,Bladder Cancer Surgery,50th Percentile,2021Q3Q4,Days,27
Provincial,Newfoundland and Labrador,Bladder Cancer Surgery,90th Percentile,2021Q3Q4,Days,65
Provincial,Newfoundland and Labrador,Bladder Cancer Surgery,Volume,2021Q3Q4,Number of cases,152
Provincial,Newfoundland and Labrador,Breast Cancer Surgery,50th Percentile,2021Q3Q4,Days,15
Provincial,Newfoundland and Labrador,Breast Cancer Surgery,90th Percentile,2021Q3Q4,Days,30
Provincial,Newfoundland and Labrador,Breast Cancer Surgery,Volume,2021Q3Q4,Number of cases,203
Provincial,Newfoundland and Labrador,CABG,50th Percentile,2021Q3Q4,Days,10
